epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5684.87,0.35951,0.30023,0.88945,0.98686,1,0.995,0.96974,0.28384,0.22791,0.83058,0.000294061,0.000294061,0.000294061
43,5822.2,0.36612,0.30694,0.89133,0.98292,0.99469,0.995,0.97255,0.27334,0.22686,0.82354,0.000279063,0.000279063,0.000279063
44,5955.36,0.36228,0.30951,0.89206,0.99043,1,0.995,0.97388,0.27379,0.22846,0.83134,0.000264064,0.000264064,0.000264064
45,6087.78,0.37147,0.29526,0.90524,0.99053,1,0.995,0.97748,0.26296,0.21352,0.82498,0.000249066,0.000249066,0.000249066
46,6218.77,0.34308,0.28226,0.87938,0.98876,0.99612,0.995,0.97328,0.28139,0.22341,0.83058,0.000234068,0.000234068,0.000234068
47,6352.27,0.36233,0.2805,0.87948,0.99019,1,0.995,0.97076,0.25738,0.21371,0.82723,0.000219069,0.000219069,0.000219069
48,6485.02,0.33076,0.26693,0.86666,0.98985,1,0.995,0.97304,0.26328,0.20273,0.82687,0.00020407,0.00020407,0.00020407
49,6616.18,0.38006,0.30523,0.91709,0.98607,1,0.995,0.98,0.25904,0.20372,0.82413,0.000189072,0.000189072,0.000189072
50,6746,0.33785,0.28466,0.88584,0.94651,0.98748,0.995,0.98074,0.26262,0.21234,0.82438,0.000174074,0.000174074,0.000174074
51,6877.51,0.23335,0.21477,0.79038,0.97912,0.99199,0.995,0.98387,0.25332,0.20084,0.82289,0.000159075,0.000159075,0.000159075
52,7008.42,0.21561,0.20094,0.79063,0.98749,0.9981,0.995,0.98297,0.2456,0.19548,0.81907,0.000144077,0.000144077,0.000144077
53,7138.99,0.20772,0.19043,0.78122,0.9917,0.99851,0.995,0.98427,0.24164,0.1864,0.81661,0.000129078,0.000129078,0.000129078
54,7271,0.21428,0.18677,0.7942,0.99171,0.99979,0.995,0.98128,0.24637,0.18662,0.81298,0.00011408,0.00011408,0.00011408
55,7405.54,0.21103,0.19187,0.79657,0.98985,1,0.995,0.97638,0.24586,0.1981,0.8042,9.9081e-05,9.9081e-05,9.9081e-05
56,7543.47,0.20598,0.18061,0.78267,0.99081,1,0.995,0.98286,0.24532,0.19234,0.80217,8.40825e-05,8.40825e-05,8.40825e-05
57,7677.31,0.20975,0.17694,0.77861,0.99134,1,0.995,0.9812,0.23972,0.19065,0.802,6.9084e-05,6.9084e-05,6.9084e-05
58,7809.07,0.20156,0.17653,0.7701,0.99113,1,0.995,0.97591,0.23512,0.18432,0.80056,5.40855e-05,5.40855e-05,5.40855e-05
59,7936.19,0.19902,0.16826,0.76538,0.99089,1,0.995,0.98092,0.22797,0.1804,0.79988,3.9087e-05,3.9087e-05,3.9087e-05
60,8071.02,0.19284,0.17152,0.77536,0.99184,1,0.995,0.98345,0.22734,0.17484,0.80126,2.40885e-05,2.40885e-05,2.40885e-05
